ID_REDE;1_REDE_DE_ENSINO;V00_Total de escolas por rede;V01_Escolas sem instalações elétricas;V02_Escolas com instalações elétricas;V03_1. Acesso adequado - fibra;V04_2. Acesso inadequado - menos de 20 km;V05_3. Acesso inadequado - mais de 20 km;V06_4. Acesso inadequado - localização imprecisa;V07_Escolas acima de 1Mbps;V08_Escolas abaixo de 1Mbps;V09_Escolas com medidor;V10_Escolas sem medidor
Municipal - 4318705;Municipal - São Leopoldo;49;0;49;49;0;0;0;1;48;5;44
Municipal - 3502705;Municipal - Apiaí;15;0;15;8;7;0;0;0;15;0;15
Municipal - 3500600;Municipal - Águas de São Pedro;2;0;2;2;0;0;0;0;2;0;2
Municipal - 4128708;Municipal - Vitorino;4;0;4;4;0;0;0;0;4;0;4
Municipal - 2307908;Municipal - Martinópole;18;0;18;9;9;0;0;0;18;0;18
Municipal - 3125705;Municipal - Felixlândia;10;0;10;5;4;1;0;1;9;1;9
Municipal - 4301701;Municipal - Barão de Cotegipe;2;0;2;1;1;0;0;0;2;0;2
Municipal - 2800605;Municipal - Barra dos Coqueiros;13;0;13;12;1;0;0;0;13;0;13
Municipal - 2702801;Municipal - Flexeiras;14;0;14;12;2;0;0;0;14;4;10
Municipal - 3154606;Municipal - Ribeirão das Neves;61;0;61;58;0;0;3;8;53;20;41
Municipal - 3203007;Municipal - Iúna;24;0;24;8;16;0;0;0;24;1;23
Municipal - 3515400;Municipal - Fartura;7;0;7;7;0;0;0;0;7;0;7
Municipal - 3534906;Municipal - Pacaembu;5;0;5;5;0;0;0;0;5;0;5
Municipal - 3544301;Municipal - Roseira;10;0;10;10;0;0;0;0;10;2;8
Municipal - 3541307;Municipal - Presidente Epitácio;16;0;16;13;3;0;0;2;14;6;10
Municipal - 2106904;Municipal - Monção;88;0;88;17;71;0;0;1;87;4;84
Municipal - 2506509;Municipal - Gurjão;5;0;5;3;2;0;0;0;5;0;5
Municipal - 4323408;Municipal - Vila Maria;2;0;2;1;1;0;0;0;2;0;2
Municipal - 3506805;Municipal - Bocaina;6;0;6;5;1;0;0;0;6;0;6
Municipal - 2107357;Municipal - Nova Olinda do Maranhão;35;0;35;14;16;5;0;0;35;5;30
Municipal - 4202453;Municipal - Bombinhas;12;0;12;12;0;0;0;1;11;8;4
Municipal - 4312757;Municipal - Nova Alvorada;4;0;4;3;1;0;0;0;4;0;4
Municipal - 3534500;Municipal - Oscar Bressane;2;0;2;2;0;0;0;0;2;0;2
Municipal - 3552601;Municipal - Tabapuã;7;0;7;7;0;0;0;0;7;0;7
Municipal - 4112306;Municipal - Japira;2;0;2;2;0;0;0;0;2;0;2
Municipal - 2107803;Municipal - Parnarama;42;0;42;19;23;0;0;0;42;7;35
Municipal - 2107902;Municipal - Passagem Franca;28;0;28;15;13;0;0;0;28;3;25
Municipal - 3151909;Municipal - Pocrane;8;0;8;1;7;0;0;0;8;0;8
Municipal - 2509701;Municipal - Monteiro;19;0;19;13;6;0;0;1;18;1;18
Municipal - 3142700;Municipal - Montalvânia;16;0;16;3;9;1;3;0;16;0;16
Municipal - 3527405;Municipal - Lucélia;9;0;9;9;0;0;0;0;9;2;7
Municipal - 3530300;Municipal - Mirassol;16;0;16;15;1;0;0;0;16;0;16
Municipal - 5104203;Municipal - Guiratinga;4;0;4;2;1;0;1;0;4;0;4
Municipal - 5101803;Municipal - Barra do Garças;33;0;33;29;0;3;1;3;30;7;26
Municipal - 3520400;Municipal - Ilhabela;37;0;37;29;5;3;0;1;36;1;36
Municipal - 3549409;Municipal - São Joaquim da Barra;18;0;18;18;0;0;0;0;18;0;18
Municipal - 4218202;Municipal - Timbó;29;0;29;28;1;0;0;17;12;22;7
Municipal - 3520301;Municipal - Iguape;16;0;16;12;4;0;0;0;16;0;16
Municipal - 3526605;Municipal - Lavrinhas;5;0;5;5;0;0;0;0;5;0;5
Municipal - 4125803;Municipal - São Pedro do Ivaí;6;0;6;6;0;0;0;0;6;0;6
Municipal - 2909901;Municipal - Curaçá;35;0;35;16;13;2;4;2;33;14;21
Municipal - 2503209;Municipal - Cabedelo;31;0;31;29;0;0;2;0;31;3;28
Municipal - 3121209;Municipal - Delfinópolis;7;0;7;2;5;0;0;0;7;0;7
Municipal - 4113403;Municipal - Leópolis;7;0;7;5;2;0;0;0;7;1;6
Municipal - 2108454;Municipal - Peritoró;43;0;43;23;20;0;0;0;43;1;42
Municipal - 3517109;Municipal - Glicério;4;0;4;2;2;0;0;0;4;0;4
Municipal - 3510906;Municipal - Cássia dos Coqueiros;4;0;4;4;0;0;0;0;4;0;4
Municipal - 2932200;Municipal - Ubaitaba;27;0;27;17;9;0;1;2;25;7;20
Municipal - 3501202;Municipal - Álvares Florence;3;0;3;2;0;0;1;0;3;0;3
Municipal - 2207751;Municipal - Passagem Franca do Piauí;10;0;10;7;3;0;0;0;10;0;10
Municipal - 3555307;Municipal - Turmalina;3;0;3;3;0;0;0;0;3;0;3
Municipal - 3510153;Municipal - Canitar;4;0;4;4;0;0;0;0;4;0;4
Municipal - 3533601;Municipal - Nuporanga;5;0;5;5;0;0;0;0;5;0;5
Municipal - 4207577;Municipal - Iomerê;2;0;2;2;0;0;0;0;2;0;2
Municipal - 3146008;Municipal - Ouro Fino;11;0;11;9;2;0;0;0;11;0;11
Municipal - 3141405;Municipal - Medina;13;0;13;4;9;0;0;0;13;0;13
Municipal - 3502606;Municipal - Aparecida d'Oeste;2;0;2;2;0;0;0;0;2;0;2
Municipal - 5220686;Municipal - Simolândia;4;0;4;4;0;0;0;1;3;1;3
Municipal - 2205581;Municipal - Lagoa do Piauí;4;0;4;4;0;0;0;0;4;0;4
Municipal - 2108801;Municipal - Pirapemas;51;0;51;51;0;0;0;0;51;0;51
Municipal - 2412005;Municipal - São Gonçalo do Amarante;51;0;51;50;1;0;0;10;41;29;22
Municipal - 3203205;Municipal - Linhares;98;0;98;67;30;0;1;13;85;45;53
Municipal - 3304607;Municipal - Santa Maria Madalena;14;0;14;6;3;0;5;0;14;0;14
Municipal - 3534203;Municipal - Orindiúva;4;0;4;4;0;0;0;0;4;0;4
Municipal - 5210802;Municipal - Itajá;4;0;4;3;0;1;0;0;4;0;4
Municipal - 5203962;Municipal - Buritinópolis;3;0;3;2;1;0;0;0;3;0;3
Municipal - 3119955;Municipal - Córrego Fundo;3;0;3;2;1;0;0;0;3;0;3
Municipal - 3508405;Municipal - Cabreúva;24;0;24;20;3;0;1;1;23;1;23
Municipal - 3522653;Municipal - Itapirapuã Paulista;5;0;5;2;3;0;0;0;5;0;5
Municipal - 5105234;Municipal - Lambari D'Oeste;4;0;4;3;1;0;0;1;3;1;3
Municipal - 2505709;Municipal - Dona Inês;16;0;16;6;10;0;0;0;16;0;16
Municipal - 3302106;Municipal - Itaocara;16;0;16;9;7;0;0;0;16;0;16
Municipal - 2411601;Municipal - São Bento do Norte;5;0;5;2;3;0;0;0;5;0;5
Municipal - 3535101;Municipal - Palmares Paulista;6;0;6;6;0;0;0;0;6;0;6
Municipal - 3518206;Municipal - Guararapes;18;0;18;18;0;0;0;1;17;1;17
Municipal - 4300059;Municipal - Água Santa;2;0;2;2;0;0;0;0;2;0;2
Municipal - 2206001;Municipal - Marcos Parente;4;0;4;3;1;0;0;0;4;0;4
Municipal - 3143203;Municipal - Monte Santo de Minas;7;0;7;6;1;0;0;0;7;2;5
Municipal - 3159605;Municipal - Santa Rita do Sapucaí;15;0;15;14;1;0;0;3;12;14;1
Municipal - 3552007;Municipal - Silveiras;4;0;4;2;2;0;0;0;4;0;4
Municipal - 3515186;Municipal - Espírito Santo do Pinhal;19;0;19;19;0;0;0;0;19;0;19
Municipal - 4117404;Municipal - Ourizona;2;0;2;2;0;0;0;0;2;0;2
Municipal - 2109908;Municipal - Santa Inês;62;0;62;45;16;1;0;11;51;33;29
Municipal - 3544400;Municipal - Rubiácea;4;0;4;2;2;0;0;0;4;0;4
Municipal - 4122503;Municipal - Roncador;8;0;8;7;1;0;0;0;8;0;8
Municipal - 2112506;Municipal - Tutóia;75;1;74;34;40;1;0;4;71;7;68
Municipal - 3303856;Municipal - Paty do Alferes;21;0;21;17;4;0;0;1;20;2;19
Municipal - 3500402;Municipal - Águas da Prata;5;0;5;3;2;0;0;0;5;0;5
Municipal - 4305959;Municipal - Cotiporã;2;0;2;2;0;0;0;0;2;0;2
Municipal - 2110005;Municipal - Santa Luzia;148;3;145;43;78;27;0;15;133;35;113
Municipal - 3504206;Municipal - Auriflama;7;0;7;7;0;0;0;0;7;0;7
Municipal - 4217709;Municipal - Sombrio;18;0;18;17;1;0;0;0;18;10;8
Municipal - 4317004;Municipal - Santana da Boa Vista;8;0;8;5;3;0;0;0;8;0;8
Municipal - 3510203;Municipal - Capão Bonito;30;0;30;26;4;0;0;7;23;15;15
Municipal - 2110278;Municipal - Santo Amaro do Maranhão;42;1;41;5;19;18;0;0;42;0;42
Municipal - 3152600;Municipal - Pouso Alto;5;0;5;3;2;0;0;1;4;2;3
Municipal - 3118700;Municipal - Coqueiral;4;0;4;2;2;0;0;0;4;0;4
Municipal - 2110401;Municipal - São Benedito do Rio Preto;49;0;49;12;29;8;0;1;48;3;46
Municipal - 3144805;Municipal - Nova Lima;25;0;25;24;1;0;0;3;22;15;10
Municipal - 3544509;Municipal - Rubinéia;3;0;3;2;1;0;0;0;3;0;3
Municipal - 3118205;Municipal - Conquista;5;0;5;3;2;0;0;0;5;0;5
Municipal - 2516003;Municipal - Solânea;20;0;20;13;7;0;0;1;19;2;18
Municipal - 3164803;Municipal - São Sebastião do Rio Preto;1;0;1;1;0;0;0;0;1;0;1
Municipal - 4113429;Municipal - Lidianópolis;4;0;4;2;2;0;0;1;3;1;3
Municipal - 3120805;Municipal - Cruzília;6;0;6;5;1;0;0;0;6;0;6
Municipal - 3149150;Municipal - Pedras de Maria da Cruz;10;0;10;6;1;1;2;0;10;0;10
Municipal - 3140803;Municipal - Matias Barbosa;6;0;6;6;0;0;0;0;6;2;4
Municipal - 3139805;Municipal - Mar de Espanha;6;0;6;5;1;0;0;1;5;2;4
Municipal - 5206503;Municipal - Cromínia;3;0;3;2;1;0;0;0;3;0;3
Municipal - 4202156;Municipal - Belmonte;4;0;4;2;2;0;0;0;4;0;4
Municipal - 4218855;Municipal - União do Oeste;2;0;2;2;0;0;0;0;2;0;2
Municipal - 3541059;Municipal - Pratânia;3;0;3;3;0;0;0;0;3;0;3
Municipal - 3548302;Municipal - Santo Expedito;2;0;2;2;0;0;0;0;2;0;2
Municipal - 2910701;Municipal - Euclides da Cunha;51;0;51;34;15;2;0;0;51;2;49
Municipal - 2310100;Municipal - Palmácia;9;0;9;1;8;0;0;0;9;0;9
Municipal - 2111003;Municipal - São João Batista;61;0;61;7;53;1;0;0;61;1;60
Municipal - 3169208;Municipal - Tombos;6;0;6;5;1;0;0;4;2;4;2
Municipal - 3550506;Municipal - São Pedro do Turvo;7;0;7;5;2;0;0;0;7;0;7
Municipal - 3529302;Municipal - Matão;27;0;27;25;2;0;0;0;27;0;27
Municipal - 3549953;Municipal - São Lourenço da Serra;13;0;13;10;3;0;0;1;12;1;12
Municipal - 3135308;Municipal - Japaraíba;5;0;5;5;0;0;0;0;5;1;4
Municipal - 4309100;Municipal - Gramado;28;0;28;25;3;0;0;2;26;3;25
Municipal - 2607950;Municipal - Jaqueira;20;0;20;1;19;0;0;0;20;0;20
Municipal - 3300456;Municipal - Belford Roxo;96;0;96;96;0;0;0;0;96;2;94
Municipal - 4107009;Municipal - Curiúva;8;0;8;5;3;0;0;0;8;0;8
Municipal - 2505006;Municipal - Cubati;10;0;10;8;2;0;0;0;10;2;8
Municipal - 3551306;Municipal - Sebastianópolis do Sul;3;0;3;2;1;0;0;0;3;0;3
Municipal - 3547007;Municipal - Santa Maria da Serra;3;0;3;3;0;0;0;0;3;0;3
Municipal - 3528205;Municipal - Macedônia;2;0;2;2;0;0;0;0;2;0;2
Municipal - 3519055;Municipal - Holambra;13;0;13;13;0;0;0;6;7;8;5
Municipal - 3537107;Municipal - Pedreira;25;0;25;25;0;0;0;7;18;11;14
Municipal - 3555505;Municipal - Ubirajara;4;0;4;4;0;0;0;0;4;0;4
Municipal - 2700805;Municipal - Belém;8;0;8;3;5;0;0;0;8;0;8
Municipal - 3541208;Municipal - Presidente Bernardes;6;0;6;4;2;0;0;0;6;0;6
Municipal - 3519253;Municipal - Iaras;4;0;4;3;1;0;0;0;4;0;4
Municipal - 2400604;Municipal - Almino Afonso;5;0;5;2;3;0;0;0;5;0;5
Municipal - 3553658;Municipal - Taquaral;2;0;2;2;0;0;0;0;2;0;2
Municipal - 3505807;Municipal - Bastos;11;0;11;10;1;0;0;0;11;0;11
Municipal - 4111001;Municipal - Itambaracá;4;0;4;4;0;0;0;0;4;0;4
Municipal - 4118303;Municipal - Paranapoema;2;0;2;2;0;0;0;0;2;0;2
Municipal - 3160702;Municipal - Santos Dumont;28;0;28;17;11;0;0;2;26;5;23
Municipal - 3154804;Municipal - Rio Acima;7;0;7;6;1;0;0;0;7;1;6
Municipal - 3532157;Municipal - Nantes;2;0;2;2;0;0;0;0;2;0;2
Municipal - 2205102;Municipal - Itaueira;23;0;23;23;0;0;0;0;23;4;19
Municipal - 4322202;Municipal - Tupanciretã;20;0;20;17;2;1;0;0;20;0;20
Municipal - 4318051;Municipal - São Domingos do Sul;1;0;1;1;0;0;0;0;1;0;1
Municipal - 3556354;Municipal - Vargem;9;0;9;8;1;0;0;0;9;0;9
Municipal - 2507408;Municipal - Jericó;14;0;14;5;9;0;0;0;14;0;14
Municipal - 4310603;Municipal - Itaqui;16;0;16;13;3;0;0;0;16;0;16
Municipal - 3514809;Municipal - Eldorado;25;0;25;8;13;4;0;0;25;0;25
Municipal - 4310751;Municipal - Ivorá;4;0;4;1;3;0;0;0;4;0;4
Municipal - 3535804;Municipal - Paranapanema;14;0;14;8;6;0;0;0;14;0;14
Municipal - 3541653;Municipal - Quadra;3;0;3;3;0;0;0;0;3;0;3
Municipal - 3170008;Municipal - Ubaí;13;0;13;10;2;0;1;0;13;0;13
Municipal - 3131604;Municipal - Iraí de Minas;4;0;4;3;1;0;0;0;4;1;3
Municipal - 3515301;Municipal - Estrela do Norte;3;0;3;3;0;0;0;2;1;2;1
Municipal - 3526506;Municipal - Lavínia;3;0;3;3;0;0;0;0;3;0;3
Municipal - 2112308;Municipal - Tuntum;58;0;58;21;20;17;0;0;58;0;58
Municipal - 3528858;Municipal - Marapoama;2;0;2;2;0;0;0;0;2;0;2
Municipal - 3549706;Municipal - São José do Rio Pardo;21;0;21;18;3;0;0;0;21;1;20
Municipal - 4105201;Municipal - Cerro Azul;26;0;26;11;15;0;0;2;24;5;21
Municipal - 2112456;Municipal - Turilândia;62;0;62;14;29;19;0;0;62;1;61
Municipal - 3108107;Municipal - Bonfim;4;0;4;2;2;0;0;0;4;0;4
Municipal - 3542503;Municipal - Reginópolis;3;0;3;3;0;0;0;0;3;0;3
Municipal - 2112704;Municipal - Vargem Grande;71;0;71;32;26;13;0;0;71;13;58
Municipal - 4108205;Municipal - Formosa do Oeste;3;0;3;3;0;0;0;0;3;1;2
Municipal - 4218251;Municipal - Timbó Grande;7;0;7;3;4;0;0;0;7;1;6
Municipal - 3518305;Municipal - Guararema;24;0;24;24;0;0;0;10;14;18;6
Municipal - 3305307;Municipal - São Sebastião do Alto;11;0;11;8;3;0;0;0;11;0;11
Municipal - 2113009;Municipal - Vitorino Freire;52;0;52;31;21;0;0;15;37;32;20
Municipal - 3525300;Municipal - Jaú;56;0;56;52;4;0;0;7;49;12;44
Municipal - 4216107;Municipal - São Domingos;7;0;7;4;3;0;0;0;7;0;7
Municipal - 4307203;Municipal - Erval Grande;4;0;4;1;3;0;0;1;3;1;3
Municipal - 2515401;Municipal - São Vicente do Seridó;14;0;14;4;10;0;0;2;12;3;11
Municipal - 5106273;Municipal - Novo Horizonte do Norte;3;0;3;2;1;0;0;1;2;1;2
Municipal - 5105309;Municipal - Luciara;3;0;3;1;0;2;0;0;3;0;3
Municipal - 2200400;Municipal - Altos;34;0;34;31;3;0;0;9;25;25;9
Municipal - 3154150;Municipal - Reduto;7;0;7;2;5;0;0;0;7;0;7
Municipal - 3170529;Municipal - Urucuia;8;0;8;4;2;2;0;0;8;3;5
Municipal - 3504602;Municipal - Bady Bassitt;11;0;11;11;0;0;0;0;11;0;11
Municipal - 3532702;Municipal - Nipoã;3;0;3;3;0;0;0;0;3;0;3
Municipal - 2200509;Municipal - Amarante;20;0;20;17;3;0;0;1;19;6;14
Municipal - 4120705;Municipal - Quatiguá;3;0;3;3;0;0;0;1;2;1;2
Municipal - 3162708;Municipal - São João do Paraíso;15;0;15;5;10;0;0;0;15;0;15
Municipal - 3554409;Municipal - Terra Roxa;6;0;6;6;0;0;0;1;5;3;3
Municipal - 3553955;Municipal - Tarumã;8;0;8;7;1;0;0;1;7;4;4
Municipal - 4308607;Municipal - Garibaldi;14;0;14;13;0;0;1;0;14;0;14
Municipal - 2202075;Municipal - Cajazeiras do Piauí;9;0;9;9;0;0;0;0;9;0;9
Municipal - 2202174;Municipal - Campo Largo do Piauí;18;0;18;18;0;0;0;2;16;6;12
Municipal - 3506201;Municipal - Bento de Abreu;3;0;3;3;0;0;0;0;3;0;3
Municipal - 3543600;Municipal - Rifaina;2;0;2;2;0;0;0;0;2;0;2
Municipal - 2202539;Municipal - Caraúbas do Piauí;7;0;7;2;5;0;0;0;7;1;6
Municipal - 2929909;Municipal - Seabra;40;0;40;21;18;1;0;3;37;10;30
Municipal - 4313359;Municipal - Nova Roma do Sul;2;0;2;1;1;0;0;0;2;0;2
Municipal - 2203701;Municipal - Esperantina;38;0;38;13;25;0;0;1;37;2;36
Municipal - 2203271;Municipal - Curral Novo do Piauí;13;0;13;7;6;0;0;0;13;0;13
Municipal - 3304904;Municipal - São Gonçalo;110;0;110;97;3;0;10;4;106;19;91
Municipal - 2204402;Municipal - Gilbués;28;9;19;1;27;0;0;0;28;0;28
Municipal - 4127957;Municipal - Tupãssi;5;0;5;5;0;0;0;1;4;2;3
Municipal - 4323200;Municipal - Victor Graeff;4;0;4;3;1;0;0;1;3;2;2
Municipal - 2205151;Municipal - Jacobina do Piauí;11;0;11;10;1;0;0;0;11;6;5
Municipal - 2205276;Municipal - Jatobá do Piauí;15;0;15;8;7;0;0;0;15;3;12
Municipal - 2205409;Municipal - Joaquim Pires;17;0;17;6;11;0;0;1;16;4;13
Municipal - 3528007;Municipal - Macatuba;7;0;7;7;0;0;0;0;7;0;7
Municipal - 4112751;Municipal - Jesuítas;3;0;3;3;0;0;0;0;3;2;1
Municipal - 4210555;Municipal - Marema;2;0;2;2;0;0;0;0;2;0;2
Municipal - 3503802;Municipal - Artur Nogueira;24;0;24;24;0;0;0;1;23;2;22
Municipal - 2206209;Municipal - Miguel Alves;43;0;43;20;23;0;0;1;42;1;42
Municipal - 3544608;Municipal - Sabino;3;0;3;3;0;0;0;0;3;0;3
Municipal - 2206902;Municipal - Novo Oriente do Piauí;10;0;10;8;2;0;0;0;10;0;10
Municipal - 3507605;Municipal - Bragança Paulista;74;0;74;68;6;0;0;11;63;24;50
Municipal - 3505203;Municipal - Bariri;19;0;19;19;0;0;0;5;14;12;7
Municipal - 3533205;Municipal - Nova Independência;4;0;4;4;0;0;0;0;4;0;4
Municipal - 2209807;Municipal - São Gonçalo do Piauí;5;0;5;5;0;0;0;0;5;0;5
Municipal - 3516705;Municipal - Garça;25;0;25;25;0;0;0;9;16;22;3
Municipal - 2504157;Municipal - Casserengue;8;0;8;5;3;0;0;0;8;0;8
Municipal - 2506707;Municipal - Imaculada;13;0;13;7;6;0;0;0;13;3;10
Municipal - 2512705;Municipal - Remígio;22;0;22;13;9;0;0;1;21;1;21
Municipal - 2515302;Municipal - Sapé;38;0;38;31;7;0;0;0;38;1;37
Municipal - 2506103;Municipal - Fagundes;27;0;27;5;22;0;0;0;27;0;27
Municipal - 3125903;Municipal - Ferros;15;0;15;1;13;1;0;0;15;0;15
Municipal - 3141801;Municipal - Minas Novas;33;0;33;20;12;0;1;1;32;5;28
Municipal - 2508307;Municipal - Lagoa Seca;32;0;32;29;3;0;0;2;30;20;12
Municipal - 3135076;Municipal - Jampruca;2;0;2;2;0;0;0;1;1;1;1
Municipal - 2913507;Municipal - Iguaí;32;0;32;27;5;0;0;1;31;13;19
Municipal - 3167608;Municipal - Simonésia;22;0;22;3;18;1;0;0;22;0;22
Municipal - 3106606;Municipal - Bertópolis;5;0;5;3;2;0;0;0;5;0;5
Municipal - 3112406;Municipal - Capetinga;3;0;3;3;0;0;0;0;3;1;2
Municipal - 3142601;Municipal - Monsenhor Paulo;3;0;3;2;1;0;0;0;3;2;1
Municipal - 2915809;Municipal - Itambé;33;0;33;28;2;0;3;1;32;4;29
Municipal - 4122107;Municipal - Rio Bom;3;0;3;2;1;0;0;0;3;0;3
Municipal - 2920601;Municipal - Maragogipe;55;0;55;27;15;0;13;5;50;18;37
Municipal - 2209609;Municipal - São Félix do Piauí;6;0;6;5;0;1;0;2;4;4;2
Municipal - 3136553;Municipal - José Raydan;7;0;7;1;6;0;0;0;7;0;7
Municipal - 2209757;Municipal - São Gonçalo do Gurguéia;7;0;7;7;0;0;0;0;7;0;7
Municipal - 2916807;Municipal - Itarantim;16;0;16;15;1;0;0;0;16;1;15
Municipal - 3539905;Municipal - Poloni;2;0;2;2;0;0;0;0;2;0;2
Municipal - 3523503;Municipal - Itatinga;13;0;13;12;1;0;0;0;13;0;13
Municipal - 3502200;Municipal - Angatuba;10;0;10;6;4;0;0;0;10;1;9
Municipal - 3536802;Municipal - Pedra Bela;9;0;9;3;6;0;0;1;8;2;7
Municipal - 2511707;Municipal - Pilõezinhos;10;0;10;6;4;0;0;0;10;0;10
Municipal - 2901502;Municipal - Anguera;21;0;21;14;7;0;0;3;18;8;13
Municipal - 2210631;Municipal - Sebastião Leal;10;0;10;4;5;1;0;0;10;2;8
Municipal - 2927309;Municipal - Salinas da Margarida;26;0;26;17;9;0;0;0;26;2;24
Municipal - 4100202;Municipal - Adrianópolis;8;0;8;4;3;0;1;0;8;0;8
Municipal - 4210902;Municipal - Modelo;3;0;3;3;0;0;0;0;3;0;3
Municipal - 3168002;Municipal - Taiobeiras;10;0;10;8;2;0;0;0;10;5;5
Municipal - 3100104;Municipal - Abadia dos Dourados;6;0;6;3;1;2;0;0;6;0;6
Municipal - 3130655;Municipal - Indaiabira;10;0;10;2;8;0;0;0;10;0;10
Municipal - 2708956;Municipal - Senador Rui Palmeira;16;0;16;11;5;0;0;0;16;2;14
Municipal - 3546900;Municipal - Santa Lúcia;5;0;5;5;0;0;0;0;5;0;5
Municipal - 2614006;Municipal - Serrita;20;0;20;9;9;2;0;0;20;1;19
Municipal - 4306304;Municipal - David Canabarro;3;0;3;2;1;0;0;0;3;0;3
Municipal - 3100906;Municipal - Águas Formosas;14;0;14;12;2;0;0;0;14;0;14
Municipal - 4103040;Municipal - Boa Ventura de São Roque;8;0;8;3;5;0;0;0;8;0;8
Municipal - 2606804;Municipal - Igarassu;48;0;48;39;9;0;0;4;44;22;26
Municipal - 2300408;Municipal - Aiuaba;19;0;19;4;9;5;1;0;19;0;19
Municipal - 4202503;Municipal - Bom Jardim da Serra;3;0;3;2;1;0;0;0;3;0;3
Municipal - 4215109;Municipal - Rodeio;10;0;10;4;6;0;0;7;3;7;3
Municipal - 2300903;Municipal - Apuiarés;21;0;21;13;8;0;0;0;21;5;16
Municipal - 5200852;Municipal - Americano do Brasil;2;0;2;2;0;0;0;1;1;1;1
Municipal - 3134301;Municipal - Itumirim;2;0;2;2;0;0;0;0;2;1;1
Municipal - 3549508;Municipal - São José da Bela Vista;5;0;5;5;0;0;0;0;5;0;5
Municipal - 4213302;Municipal - Ponte Alta;6;0;6;5;1;0;0;0;6;0;6
Municipal - 2905909;Municipal - Campo Alegre de Lourdes;110;8;102;45;32;31;2;0;110;0;110
Municipal - 3139102;Municipal - Madre de Deus de Minas;2;0;2;2;0;0;0;0;2;0;2
Municipal - 3112505;Municipal - Capim Branco;5;0;5;4;1;0;0;0;5;0;5
Municipal - 3104809;Municipal - Augusto de Lima;2;0;2;2;0;0;0;0;2;0;2
Municipal - 2415008;Municipal - Vila Flor;4;0;4;4;0;0;0;0;4;1;3
Municipal - 2930105;Municipal - Senhor do Bonfim;57;0;57;43;12;0;2;18;39;32;25
Municipal - 2916609;Municipal - Itapitanga;19;0;19;8;11;0;0;4;15;5;14
Municipal - 2302602;Municipal - Camocim;40;0;40;25;14;1;0;2;38;10;30
Municipal - 3502309;Municipal - Anhembi;5;0;5;4;1;0;0;0;5;0;5
Municipal - 2904704;Municipal - Buerarema;18;4;14;15;3;0;0;0;18;0;18
Municipal - 2302909;Municipal - Capistrano;14;0;14;9;5;0;0;0;14;5;9
Municipal - 4315313;Municipal - Quatro Irmãos;2;0;2;2;0;0;0;0;2;0;2
Municipal - 2701001;Municipal - Boca da Mata;10;0;10;9;1;0;0;1;9;2;8
Municipal - 2501500;Municipal - Bananeiras;31;0;31;11;20;0;0;1;30;1;30
Municipal - 2926905;Municipal - Rio do Pires;15;0;15;10;3;1;1;1;14;5;10
Municipal - 3125606;Municipal - Felisburgo;7;0;7;7;0;0;0;0;7;1;6
Municipal - 2926202;Municipal - Riachão das Neves;42;2;40;25;6;8;3;0;42;0;42
Municipal - 3511003;Municipal - Castilho;11;0;11;9;2;0;0;0;11;3;8
Municipal - 3517000;Municipal - Getulina;4;0;4;4;0;0;0;1;3;2;2
Municipal - 3548054;Municipal - Santo Antônio do Aracanguá;6;0;6;5;1;0;0;0;6;0;6
Municipal - 4218608;Municipal - Trombudo Central;11;0;11;7;4;0;0;0;11;0;11
Municipal - 2920205;Municipal - Malhada;25;0;25;22;0;3;0;3;22;14;11
Municipal - 4113908;Municipal - Mallet;8;0;8;7;1;0;0;1;7;1;7
Municipal - 4311106;Municipal - Jaguari;6;0;6;5;1;0;0;1;5;2;4
Municipal - 3122009;Municipal - Divino;17;0;17;4;13;0;0;0;17;1;16
Municipal - 3541109;Municipal - Presidente Alves;2;0;2;2;0;0;0;0;2;0;2
Municipal - 3542107;Municipal - Rafard;5;0;5;5;0;0;0;0;5;0;5
Municipal - 2700201;Municipal - Anadia;18;0;18;18;0;0;0;0;18;1;17
Municipal - 2506400;Municipal - Gurinhém;17;0;17;7;10;0;0;0;17;4;13
Municipal - 2606101;Municipal - Glória do Goitá;30;0;30;11;19;0;0;1;29;7;23
Municipal - 2704500;Municipal - Maragogi;30;0;30;23;5;0;2;0;30;4;26
Municipal - 4103354;Municipal - Braganey;6;0;6;4;2;0;0;0;6;0;6
Municipal - 3116803;Municipal - Coluna;8;0;8;2;6;0;0;0;8;0;8
Municipal - 3550902;Municipal - São Simão;10;0;10;10;0;0;0;0;10;0;10
Municipal - 2906006;Municipal - Campo Formoso;118;0;118;62;44;12;0;5;113;18;100
Municipal - 3553203;Municipal - Taiúva;4;0;4;4;0;0;0;0;4;0;4
Municipal - 4110607;Municipal - Iporã;10;0;10;10;0;0;0;0;10;1;9
Municipal - 2410801;Municipal - Riacho de Santana;7;0;7;2;5;0;0;0;7;0;7
Municipal - 2506301;Municipal - Guarabira;41;0;41;28;13;0;0;2;39;8;33
Municipal - 2933604;Municipal - Xique-Xique;123;12;111;58;29;7;29;3;120;7;116
Municipal - 4201109;Municipal - Anitápolis;2;0;2;2;0;0;0;1;1;1;1
Municipal - 3145802;Municipal - Onça de Pitangui;5;0;5;1;4;0;0;0;5;0;5
Municipal - 3131158;Municipal - Ipaba;8;0;8;4;4;0;0;0;8;1;7
Municipal - 3158706;Municipal - Santana do Garambéu;2;0;2;2;0;0;0;1;1;1;1
Municipal - 3506300;Municipal - Bernardino de Campos;8;0;8;8;0;0;0;0;8;0;8
